classifier_name,dataset_name,accuracy
dwt,BenzeneConcentration,6
dft,BenzeneConcentration,5
dct,BenzeneConcentration,3
dwt,BeijingPM25Quality,6
dft,BeijingPM25Quality,6
dct,BeijingPM25Quality,3
dwt,FloodModeling1,7
dft,FloodModeling1,1
dct,FloodModeling1,0
dwt,BeijingPM10Quality,4
dft,BeijingPM10Quality,6
dct,BeijingPM10Quality,2
dwt,HouseholdPowerConsumption1,2
dft,HouseholdPowerConsumption1,5
dct,HouseholdPowerConsumption1,1
dwt,IEEEPPG,1
dft,IEEEPPG,2
dct,IEEEPPG,0
dwt,Covid3Month,3
dft,Covid3Month,1
dct,Covid3Month,1
dwt,AppliancesEnergy,5
dft,AppliancesEnergy,3
dct,AppliancesEnergy,0
