classifier_name,dataset_name,accuracy
dwt,BenzeneConcentration,5
dft,BenzeneConcentration,2
dct,BenzeneConcentration,2
dwt,BeijingPM25Quality,5
dft,BeijingPM25Quality,4
dct,BeijingPM25Quality,4
dwt,FloodModeling1,6
dft,FloodModeling1,1
dct,FloodModeling1,0
dwt,BeijingPM10Quality,3
dft,BeijingPM10Quality,4
dct,BeijingPM10Quality,2
dwt,HouseholdPowerConsumption1,2
dft,HouseholdPowerConsumption1,2
dct,HouseholdPowerConsumption1,0
dwt,IEEEPPG,0
dft,IEEEPPG,1
dct,IEEEPPG,0
dwt,Covid3Month,0
dft,Covid3Month,1
dct,Covid3Month,0
dwt,AppliancesEnergy,4
dft,AppliancesEnergy,2
dct,AppliancesEnergy,2
