classifier_name,dataset_name,accuracy
dwt,AppliancesEnergy,0
dft,AppliancesEnergy,3
dct,AppliancesEnergy,2
dwt,NewsTitleSentiment,1
dft,NewsTitleSentiment,2
dct,NewsTitleSentiment,0
dwt,BenzeneConcentration,6
dft,BenzeneConcentration,4
dct,BenzeneConcentration,3
dwt,BeijingPM25Quality,6
dft,BeijingPM25Quality,5
dct,BeijingPM25Quality,4
dwt,IEEEPPG,1
dft,IEEEPPG,2
dct,IEEEPPG,1
dwt,FloodModeling1,5
dft,FloodModeling1,2
dct,FloodModeling1,0
dwt,HouseholdPowerConsumption1,3
dft,HouseholdPowerConsumption1,2
dct,HouseholdPowerConsumption1,0
dwt,Covid3Month,3
dft,Covid3Month,1
dct,Covid3Month,0
